Id,Name,Created at,Name [Scenes]
83,新北歡樂耶誕城A10,2021年11月29日 15:50,新北歡樂耶誕城-A10
86,光時代辦公室733 (小會議室前上方),2021年12月02日 15:50,"demo場景,粽邪第五關解謎,player sdk test game,kill zombie,08-中央廣場前段_藝廊,1.1.1,0.0.0,天文館,/1,聯合服務中心,動作：Enable/Disable Node,光時代辦公室解謎,會議室Demo,AR虛擬展場,蒐集遊戲測試,360任意門,蒐集遊戲測試-群組蒐集,威許-六角-豬排,萊爾富,音樂測試,拼圖,新竹回收機,亞太永續博覽會桃園館：AR沈浸體驗,RC_Demo_竹東星巴克,動作：移動前面,禮納里旅客服務中心-室外,新威旅客中心,數字解謎,大稻埕(niho)紅包雨-2個,大稻埕(niho)收集,大稻埕(niho)測試領取兌換券,大稻埕-貨櫃碼頭,苗栗車站demo,苗栗車站-1,高雄市經發局.複製2,苗栗車站demo-2,投資博覽會,誠品站前店_萬聖節-和全豐,niho-bug,大稻埕-貨櫃碼頭_niho測試,粽邪第七關解謎,新威旅客中心-1F,禮納里旅客服務中心-室內,新威旅客中心-2F,大稻埕-貨櫃碼頭3,迪化街-1,迪化街-2,面對我測試,大稻埕-貨櫃碼頭_複製,RC_綠能觀光元宇宙在竹東_萬聖節_01火車站"
88,東三水街市場,2021年12月08日 10:54,東三水街市場
89,天文館,2022年02月11日 15:55,"天文館,元宇宙 in 市政府"
90,清水服務區,2022年02月11日 15:55,""
93,南湖圖書館,2022年02月11日 15:55,南湖圖書館
94,光點藝術中心,2022年02月11日 15:56,光點藝術中心
95,南湖6樓,2022年02月11日 15:56,古亭
96,南湖門口A,2022年02月11日 15:56,南湖高中智慧圖書館階梯教室
99,安西府,2022年01月12日 13:57,超感空間安西府3D財虎迎虎年TEST
100,Eliot Test Coordinate Sys.,2022年01月27日 17:37,"霹靂宇宙F.A.I.T.H in KH,RC_誠品站前店_聖誕節🎄,誠品站前店_萬聖節"
105,星光大道,2022年02月21日 14:43,"星光大道,海底世界,星光大道,皇穹陵_豬哥亮"
106,皇穹陵花園,2022年02月22日 17:19,海底世界
107,皇穹陵咖啡廳,2022年02月22日 17:20,南投皇穹陵-咖啡廳
108,皇穹陵小老虎,2022年02月23日 12:37,南投皇穹陵-小老虎
115,集點測試,2022年03月30日 14:08,集點測試
116,臺北市政府大廳,2022年03月31日 14:24,元宇宙 in 市政府
118,擁恆-豬哥亮,2022年04月17日 12:58,擁恆_豬哥亮
119,臺北市政府停車場出口,2022年04月18日 14:26,台北市市政府-大門
120,臺北市政府西大門,2022年04月21日 13:25,台北市政府-正門口
121,比特宇宙,2022年04月28日 17:26,比特宇宙
122,竹東,2022年05月04日 16:33,臺北市政府大廳AR導覽_竹東
123,成都楊桃冰,2022年05月05日 14:49,julia_西門六號出口_火星貓_王領英雄
124,擁恆-豬哥亮墓園,2022年05月10日 10:59,擁恆_豬哥亮_墓園
125,奇觀藝術,2022年05月24日 15:55,等待參數實驗
127,光時代會議室179,2022年06月16日 10:09,SDK Test 測試場景
133,Ruby小貓_5491座標系,2022年06月28日 16:43,"RC_Demo_綠能觀光元宇宙在竹東_01火車站(0725說明使用),RC_綠能觀光元宇宙在竹東_常設展_02林業展示館,RC_綠能觀光元宇宙在竹東_常設展_03鎮公所,RC_Demo_竹東星巴克"
136,運營測試區,2022年07月06日 12:11,永安海螺文化體驗園區
137,KM20_207,2022年07月15日 18:21,""
138,和全豐開發環境,2022年07月15日 18:22,誠品站前店_萬聖節-和全豐
139,Hank選戰Demo,2022年07月15日 19:18,選戰demo場景-plain
140,LivingCS1,2022年07月20日 18:16,LivingScene1
141,Julia小貓_946座標系_old,2022年07月21日 15:42,"Julia_Demo_Ad,Julia_Demo_誠品站前店_聖誕節🎄,julia_Demo_百威生醫"
144,光時代AR體驗,2022年07月29日 14:50,"元宇宙 in 市政府,台北市立動物園"
146,南港教育展,2022年08月18日 16:38,南港教育展
147,MEET大南方,2022年08月25日 22:03,天文館
148,奇觀辦公室,2022年08月31日 13:56,台北市市政府-大門
149,測試座標系,2022年09月02日 14:47,粽邪第五關解謎
150,威許,2022年09月13日 07:21,威許-LightSpace測試
151,光時代DEMO,2022年09月14日 20:48,智慧城市高雄展
152,碁康,2022年09月15日 16:25,高工局Demo
153,霹靂,2022年09月15日 20:48,霹靂in光榮碼頭
154,專題展覽,2022年09月16日 08:34,專題展覽
158,台北市政府聯合服務中心,2022年09月19日 11:32,聯合服務中心
159,永安海螺文化體驗園區,2022年09月21日 13:01,永安海螺館
160,未來城市-藝廊,2022年09月22日 13:48,未來城市-藝廊
161,未來城市-海洋世界,2022年09月22日 13:48,未來城市-海洋世界
178,0-601hk4g4,2022年10月05日 16:56,"資訊球、點餐、Logo、吉祥物,360任意門"
180,實境-南京復興,2022年10月07日 18:02,""
181,誠品聖誕節,2022年10月11日 14:36,RC_誠品站前店_聖誕節🎄
183,蝦米測試81,2022年10月17日 15:26,"AR物件場景測試綁定光標籤81,夢想遊樂園"
190,信義第三區,2022年11月09日 17:04,粽邪第六關解謎
191,中華電信5G加速器,2022年11月16日 12:48,"中華電信5G加速器,羅馬競技場-冠軍之路"
192,Meet Taipei - 光時代,2022年11月16日 13:24,"meet taipei 爭豔館,羅馬競技場-冠軍之路,亞灣新創園,yuli我的場景,外婆生日"
193,(Eliot) Coordinate System 1 (web),2022年11月23日 11:25,(Eliot) Test Scene 1 (ios)
194,高雄市政府經發局,2022年11月23日 11:30,高雄市經發局
195,(Eliot) Coordinate System 2 (web),2022年11月23日 11:44,(Eliot) Test Scene 2 (web)
196,雲端AI新視界,2022年11月24日 08:54,"雲端AI新視界,亞灣新創園,元宇宙 in 市政府,元宇宙 in 信義區,ACER"
197,光時代門口,2022年11月29日 11:57,blender test
198,鴻圖開發部門,2022年11月30日 11:35,元宇宙 in 市政府 (鴻圖)
199,信義第一區第一關,2022年12月03日 07:36,粽邪第一關解謎
200,高醫大校史館,2022年12月09日 18:42,高醫大校史館
203,acer-11F,2022年12月14日 14:53,11F
204,信義區夢想遊樂園子場景,2022年12月14日 18:42,"任意門1_賽車,任意門2_火星貓,大稻埕-貨櫃碼頭_複製"
207,光標籤 400 的座標系,2022年12月18日 16:01,"RC_Demo_綠能觀光元宇宙在竹東_01火車站(0725說明使用),高雄市經發局-複製henry,煙火測試"
208,eliot coordinate sys. lightid=5520,2022年12月18日 16:50,力暘花蓮辦公室
209,DEMO,2022年12月19日 10:44,default scene
210,SunnyChen lightid=5469,2022年12月19日 16:45,測試設定透明度
211,demo002,2022年12月21日 08:59,demo002
212,創業者年會,2022年12月22日 09:01,"創業者年會,亞灣新創園,HoloParkScene,夢想遊樂園,高雄市經發局"
213,台北通開發人員,2022年12月22日 14:07,元宇宙 in 市政府
214,耶誕嘉年華主舞台,2022年12月22日 17:59,空總耶誕嘉年華-peter
215,耶誕嘉年華元宇宙,2022年12月22日 18:11,空總耶誕嘉年華
218,23科技燈區,2023年01月06日 12:42,RC_23科技燈區_0113_上架用_忽略可視距離_精靈已換好_參差版
219,mike測試,2023年01月09日 15:01,"夢想遊樂園,元宵燈節第一區,第五區ATT,第六區101"
221,運營_燈會test,2023年01月10日 11:28,RC_23科技燈區_0113_上架用_忽略可視距離_精靈已換好_參差版
222,信義第二區第一關,2023年01月17日 10:20,粽邪第四關解謎
223,信義第四區第一關,2023年01月17日 14:54,拼圖-複製
224,acer展廳,2023年01月19日 10:24,acer 新年
230,茂林區座標系,2023年02月14日 11:05,茂林區
231,julia_Demo_Hank 辦公室,2023年02月14日 16:02,"臺北市政府大廳AR導覽,海底世界,亞灣新創園,高雄市經發局"
232,茂林新威遊客中心,2023年02月17日 12:22,新威旅客中心
233,新威遊客中心1F,2023年02月17日 12:48,新威旅客中心-1F
234,茂林新威遊客中心2F,2023年02月17日 13:31,新威旅客中心-2F
235,禮納里遊客服務中心,2023年02月17日 15:20,禮納里旅客服務中心-室外
236,禮納里遊客服務中心-1F,2023年02月17日 16:14,禮納里旅客服務中心-室內
237,att4fun,2023年02月18日 09:12,數字解謎-att
238,101,2023年02月18日 11:48,元宇宙 in 市政府
239,互動地圖DEMO,2023年02月22日 07:35,"互動地圖demo,RC_Demo_6號隧道,RC_Demo_勝興車站,RC_Demo_龍騰斷橋"
242,智慧城市展,2023年03月28日 14:47,智慧城市展_showroom
243,智慧城市展-高雄場,2023年03月29日 15:01,智慧城市高雄展
244,0.0.0,2023年03月30日 08:52,"新威旅客中心,新威旅客中心-1F,新威旅客中心-2F,禮納里旅客服務中心-室外,禮納里旅客服務中心-室內,0.0.0,1.1.1"
245,茂林新威旅客中心,2023年03月31日 16:28,新威旅客中心-[練習區]
246,茂林新威旅客中心2F,2023年03月31日 16:29,""
247,禮納里旅客服務中心,2023年03月31日 16:29,""
248,禮納里旅客服務中心-1F,2023年03月31日 16:30,""
249,茂林新威旅客中心-咖啡廳,2023年04月17日 17:49,茂林新威旅客中心-咖啡廳
251,殼上寫Henry,2023年05月05日 10:27,"高雄會展聯盟,光時代辦公室解謎,擁恆_豬哥亮,高雄市經發局-複製henry,萊爾富,海底世界-3,大稻埕-貨櫃碼頭"
252,Julia小貓_965座標系,2023年05月08日 10:29,"Julia_Demo_誠品站前店_聖誕節🎄,Julia_Demo_繽菓市,julia_西門六號出口_火星貓_王領英雄"
253,諾錡-4858,2023年05月15日 11:59,demo場景
255,粽邪7樓快問快答第一組,2023年05月24日 14:38,粽邪7樓快問快答第一組
256,銘傳招生4F,2023年05月24日 17:25,海底世界-2
257,信義第一區第二關,2023年05月30日 10:31,粽邪第二關解謎
258,test,2023年06月01日 14:40,大稻埕-貨櫃碼頭
259,信義第一區第三關,2023年06月02日 10:10,粽邪第三關解謎
260,信義第二區第二關,2023年06月09日 15:36,粽邪第五關解謎
261,信義第四區第二關,2023年06月09日 15:48,數字解謎
262,信義第四區第三關,2023年06月09日 15:51,拼圖
264,粽邪快問快答,2023年06月26日 14:02,粽邪7樓快問快答第二組
265,和正豐回收機,2023年07月14日 09:51,新竹回收機
266,苗栗車站,2023年07月27日 13:52,"高雄市經發局.複製2,苗栗車站demo-2"
267,大稻埕_貨櫃市集-3貓,2023年07月31日 15:49,大稻埕-貨櫃碼頭3
268,大稻埕_貨櫃市集-1貓,2023年07月31日 16:19,大稻埕-貨櫃碼頭
269,leo光標籤-測試粽邪,2023年08月01日 09:28,"粽邪第四關解謎,粽邪第一關解謎,粽邪第二關解謎,粽邪第三關解謎,粽邪第五關解謎,粽邪第六關解謎,大稻埕-貨櫃碼頭,新威旅客中心-1F"
270,信義第三區-2,2023年08月02日 09:43,粽邪第六關-2
272,ATT新,2023年08月07日 10:09,數字解謎-att
273,大稻埕_迪化街-1,2023年08月08日 03:14,迪化街-1
274,大稻埕_迪化街-2,2023年08月08日 03:15,迪化街-2
275,大稻埕_迪化街-3,2023年08月08日 03:15,迪化街-3
276,桃園綠色方舟館-嘟嘟,2023年08月08日 13:18,綠色方舟館-桃園嘟嘟
277,綠色方舟館-海底世界,2023年08月08日 13:41,海底世界-綠色方舟
